Sentence #,Word,POS,Tag
,on,B-PP,O
,73,B-NP,O
,minutes,I-NP,O
,Danish,I-NP,B-MISC
,striker,I-NP,O
,Jon,B-NP,B-PER
,Dahl,I-NP,I-PER
,Tomasson,I-NP,I-PER
,rushed,B-VP,O
,out,B-PP,O
,of,B-PP,O
,his,B-NP,O
,own,I-NP,O
,half,I-NP,O
,",",O,O
,beat,B-VP,O
,the,B-NP,O
,Ajax,I-NP,B-ORG
,defence,B-VP,O
,and,I-VP,O
,lobbed,I-VP,O
,van,B-NP,B-PER
,der,I-NP,I-PER
,Sar,I-NP,I-PER
,.,I-NP,I-PER
,.,.,0
,"
",I-NP,I-PER
,The,B-NP,O
,defeat,I-NP,O
,means,B-VP,O
,Ajax,B-NP,B-ORG
,'s,B-NP,O
,main,I-NP,O
,title,I-NP,O
,contenders,I-NP,O
,PSV,I-NP,B-ORG
,Eindhoven,I-NP,I-ORG
,",",O,O
,who,B-NP,O
,beat,B-VP,O
,the,B-NP,O
,champions,I-NP,O
,3-0,B-NP,O
,in,B-PP,O
,the,B-NP,O
,traditional,I-NP,O
,league,I-NP,O
,curtain-raiser,I-NP,O
,",",O,O
,can,B-VP,O
,go,I-VP,O
,three,B-NP,O
,points,I-NP,O
,clear,B-ADJP,O
,of,B-PP,O
,their,B-NP,O
,rivals,I-NP,O
,if,B-SBAR,O
,they,B-NP,O
,beat,B-VP,O
,Groningen,B-NP,B-ORG
,on,B-PP,O
,Sunday,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1958,-,B-NP,O
,BELGIAN,B-NP,B-MISC
,FIRST,I-NP,O
,DIVISION,I-NP,O
,RESULTS,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,BRUSSELS,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Results,B-NP,O
,of,B-PP,O
,Belgian,B-NP,B-MISC
,first,I-NP,O
,"
",I-NP,O
,division,B-NP,O
,matches,I-NP,O
,on,B-PP,O
,Saturday,B-NP,O
,:,O,O
,"
",O,O
,Standard,B-NP,B-ORG
,Liege,I-NP,I-ORG
,3,I-NP,O
,Molenbeek,I-NP,B-ORG
,0,I-NP,O
,"
",I-NP,O
,Anderlecht,B-NP,B-ORG
,2,I-NP,O
,Lokeren,I-NP,B-ORG
,2,I-NP,O
,"
",I-NP,O
,Cercle,B-NP,B-ORG
,Brugge,I-NP,I-ORG
,2,I-NP,O
,Mouscron,I-NP,B-ORG
,2,I-NP,O
,"
",I-NP,O
,Antwerp,B-NP,B-ORG
,1,I-NP,O
,Lommel,I-NP,B-ORG
,4,I-NP,O
,"
",I-NP,O
,Ghent,B-NP,B-ORG
,3,I-NP,O
,Aalst,I-NP,B-ORG
,2,I-NP,O
,"
",I-NP,O
,Lierse,B-VP,B-ORG
,4,B-NP,O
,Charleroi,I-NP,B-ORG
,0,I-NP,O
,"
",I-NP,O
,Sint,B-NP,B-ORG
,Truiden,I-NP,I-ORG
,3,I-NP,O
,Ekeren,I-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1959,-,B-NP,O
,LEADING,B-NP,O
,FRENCH,I-NP,B-MISC
,LEAGUE,I-NP,O
,SCORERS,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,PARIS,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Leading,B-NP,O
,goalscorers,I-NP,O
,in,B-PP,O
,the,B-NP,O
,French,I-NP,B-MISC
,"
",I-NP,B-MISC
,first,B-NP,O
,division,I-NP,O
,after,B-PP,O
,Saturday,B-NP,O
,'s,B-NP,O
,matches,I-NP,O
,:,O,O
,"
",O,O
,3,B-NP,O
,-,I-NP,O
,Anto,I-NP,B-PER
,Drobnjak,I-NP,I-PER
,(,O,O
,Bastia,B-NP,B-ORG
,),O,O
,",",O,O
,Xavier,B-NP,B-PER
,Gravelaine,I-NP,I-PER
,(,O,O
,Marseille,B-NP,B-ORG
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,2,B-NP,O
,-,I-NP,O
,Miladin,I-NP,B-PER
,Becanovic,I-NP,I-PER
,(,O,O
,Lille,B-NP,B-ORG
,),O,O
,",",O,O
,Enzo,B-NP,B-PER
,Scifo,I-NP,I-PER
,(,O,O
,Monaco,B-NP,B-ORG
,),O,O
,",",O,O
,"
",O,O
,Vladimir,B-NP,B-PER
,Smicer,I-NP,I-PER
,(,O,O
,Lens,B-NP,B-ORG
,),O,O
,",",O,O
,Christopher,B-NP,B-PER
,Wreh,I-NP,I-PER
,(,O,O
,Guingamp,B-NP,B-ORG
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1962,-,B-NP,O
,FRENCH,B-VP,B-MISC
,LEAGUE,B-NP,O
,SUMMARIES,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,PARIS,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Summaries,B-NP,O
,of,B-PP,O
,French,B-NP,B-MISC
,first,I-NP,O
,division,I-NP,O
,"
",I-NP,O
,matches,B-NP,O
,on,B-PP,O
,Saturday,B-NP,O
,:,O,O
,"
",O,O
,Nantes,B-NP,B-ORG
,0,B-ADVP,O
,Lens,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Smicer,B-NP,B-PER
,52nd,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,Halftime,B-VP,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Attendance,B-NP,O
,"16,000",I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Nice,B-ADJP,B-ORG
,1,B-NP,O
,(,O,O
,Debbah,B-NP,B-PER
,39th,I-NP,O
,),O,O
,Bastia,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Drobnjak,B-NP,B-PER
,82nd,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,1-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"6,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Lille,B-NP,B-ORG
,3,I-NP,O
,(,O,O
,Boutoille,B-NP,B-PER
,47th,I-NP,O
,",",O,O
,Becanovic,B-NP,B-PER
,79th,I-NP,O
,pen,I-NP,O
,",",O,O
,82nd,B-NP,O
,),O,O
,),O,O
,Rennes,B-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,(,O,O
,Guivarc'h,B-NP,B-PER
,60th,I-NP,O
,pen,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,),O,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"6,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Bordeaux,B-NP,B-ORG
,0,I-NP,O
,Auxerre,I-NP,B-ORG
,0,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,"30,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Marseille,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Gravelaine,B-NP,B-PER
,24th,I-NP,O
,),O,O
,Metz,B-NP,B-ORG
,2,I-NP,O
,(,O,O
,Traore,B-NP,B-PER
,65th,I-NP,O
,",",O,O
,Bombarda,B-NP,B-PER
,"
",B-NP,B-PER
,69th,B-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,1-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"20,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Strasbourg,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Zitelli,B-NP,B-PER
,80th,I-NP,O
,),O,O
,Le,B-NP,B-ORG
,Havre,I-NP,I-ORG
,0,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"15,000",B-NP,O
,"
",B-NP,O
,Caen,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Bancarel,B-NP,B-PER
,70th,I-NP,O
,),O,O
,Lyon,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Caveglia,B-NP,B-PER
,89th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"9,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Guingamp,B-NP,B-ORG
,2,I-NP,O
,(,O,O
,Wreh,B-NP,B-PER
,15th,I-NP,O
,",",I-NP,O
,42nd,I-NP,O
,),O,O
,Monaco,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Scifo,B-NP,B-PER
,35th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,2-1,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"7,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Montpellier,B-NP,B-ORG
,0,I-NP,O
,Cannes,I-NP,B-ORG
,1,I-NP,O
,(,O,O
,Charvet,B-NP,B-PER
,8th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,0-1,B-ADVP,O
,.,B-ADVP,O
,.,.,0
,"
",B-ADVP,O
,"10,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Played,B-VP,O
,on,B-PP,O
,Friday,B-NP,O
,:,O,O
,"
",O,O
,Nancy,B-NP,B-ORG
,0,I-NP,O
,Paris,I-NP,B-ORG
,St,I-NP,I-ORG
,Germain,I-NP,I-ORG
,0,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,"15,000",B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1990,-,B-NP,O
,FRENCH,B-VP,B-MISC
,LEAGUE,B-NP,O
,STANDINGS,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,PARIS,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Standings,B-NP,O
,in,B-PP,O
,the,B-NP,O
,French,I-NP,B-MISC
,soccer,I-NP,O
,"
",I-NP,O
,league,B-NP,O
,after,B-PP,O
,Saturday,B-NP,O
,'s,B-NP,O
,matches,I-NP,O
,(,O,O
,tabulate,B-NP,O
,under,B-PP,O
,played,B-NP,O
,",",O,O
,won,B-VP,O
,",",O,O
,"
",O,O
,drawn,B-VP,O
,",",O,O
,lost,B-VP,O
,",",O,O
,goals,B-NP,O
,for,B-PP,O
,",",O,O
,goals,B-NP,O
,against,B-PP,O
,",",O,O
,points,B-VP,O
,),O,O
,:,O,O
,"
",O,O
,Lens,B-NP,B-ORG
,3,I-NP,O
,3,I-NP,O
,0,I-NP,O
,0,I-NP,O
,6,I-NP,O
,1,I-NP,O
,9,I-NP,O
,"
",I-NP,O
,Bastia,B-NP,B-ORG
,3,I-NP,O
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,4,I-NP,O
,1,I-NP,O
,7,I-NP,O
,"
",I-NP,O
,Paris,B-NP,B-ORG
,Saint-Germain,I-NP,I-ORG
,3,I-NP,O
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,3,I-NP,O
,0,I-NP,O
,7,I-NP,O
,"
",I-NP,O
,Auxerre,B-NP,B-ORG
,3,I-NP,O
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,3,I-NP,O
,0,I-NP,O
,7,I-NP,O
,"
",I-NP,O
,Cannes,B-NP,B-ORG
,3,I-NP,O
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,4,I-NP,O
,2,I-NP,O
,7,I-NP,O
,"
",I-NP,O
,Lille,B-NP,B-ORG
,3,I-NP,O
,2,I-NP,O
,0,I-NP,O
,1,I-NP,O
,4,I-NP,O
,3,I-NP,O
,6,I-NP,O
,"
",I-NP,O
,Bordeaux,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,2,I-NP,O
,0,I-NP,O
,2,I-NP,O
,1,I-NP,O
,5,I-NP,O
,"
",I-NP,O
,Monaco,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,5,I-NP,O
,3,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,Marseille,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,5,I-NP,O
,4,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,Metz,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,3,I-NP,O
,3,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,Lyon,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,4,I-NP,O
,4,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,Guingamp,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,2,I-NP,O
,2,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,Rennes,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,0,I-NP,O
,2,I-NP,O
,4,I-NP,O
,6,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Strasbourg,B-NP,B-ORG
,3,I-NP,O
,1,I-NP,O
,0,I-NP,O
,2,I-NP,O
,1,I-NP,O
,3,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Montpellier,B-NP,B-ORG
,3,I-NP,O
,0,I-NP,O
,2,I-NP,O
,1,I-NP,O
,1,I-NP,O
,2,I-NP,O
,2,I-NP,O
,"
",I-NP,O
,Nantes,B-NP,B-ORG
,3,I-NP,O
,0,I-NP,O
,1,I-NP,O
,2,I-NP,O
,2,I-NP,O
,5,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Nancy,B-NP,B-ORG
,3,I-NP,O
,0,I-NP,O
,1,I-NP,O
,2,I-NP,O
,2,I-NP,O
,5,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Nice,B-ADJP,B-ORG
,3,B-NP,O
,0,I-NP,O
,1,I-NP,O
,2,I-NP,O
,2,I-NP,O
,5,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Le,B-NP,B-ORG
,Havre,I-NP,I-ORG
,3,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,3,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Caen,B-NP,B-ORG
,3,I-NP,O
,0,I-NP,O
,1,I-NP,O
,2,I-NP,O
,1,I-NP,O
,5,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1991,-,B-NP,O
,FRENCH,B-VP,B-MISC
,LEAGUE,B-NP,O
,RESULTS,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,PARIS,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Results,B-NP,O
,of,B-PP,O
,French,B-NP,B-MISC
,first,I-NP,O
,division,I-NP,O
,"
",I-NP,O
,matches,B-NP,O
,on,B-PP,O
,Saturday,B-NP,O
,:,O,O
,"
",O,O
,Nantes,B-NP,B-ORG
,0,B-ADVP,O
,Lens,B-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,Nice,B-ADJP,B-ORG
,1,B-NP,O
,Bastia,I-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,Lille,B-NP,B-ORG
,3,I-NP,O
,Rennes,I-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,Bordeaux,B-NP,B-ORG
,0,I-NP,O
,Auxerre,I-NP,B-ORG
,0,I-NP,O
,"
",I-NP,O
,Marseille,B-NP,B-ORG
,1,I-NP,O
,Metz,I-NP,B-ORG
,2,I-NP,O
,"
",I-NP,O
,Strasbourg,B-NP,B-ORG
,1,I-NP,O
,Le,I-NP,B-ORG
,Havre,B-NP,I-ORG
,0,I-NP,O
,"
",I-NP,O
,Caen,B-NP,B-ORG
,1,I-NP,O
,Lyon,I-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,Guingamp,B-NP,B-ORG
,2,I-NP,O
,Monaco,I-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,Montpellier,B-NP,B-ORG
,0,I-NP,O
,Cannes,I-NP,B-ORG
,1,I-NP,O
,"
",I-NP,O
,Played,B-VP,O
,on,B-PP,O
,Friday,B-NP,O
,:,O,O
,"
",O,O
,Nancy,B-NP,B-ORG
,0,I-NP,O
,Paris,I-NP,B-ORG
,St,I-NP,I-ORG
,Germain,I-NP,I-ORG
,0,I-NP,O
,"
",I-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1992,-,B-NP,O
,DUTCH,B-VP,B-MISC
,FIRST,B-NP,O
,DIVISION,I-NP,O
,RESULTS,I-NP,O
,/,O,O
,STANDINGS,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,AMSTERDAM,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Result,B-NP,O
,of,B-PP,O
,Dutch,B-NP,B-MISC
,first,I-NP,O
,division,I-NP,O
,"
",I-NP,O
,soccer,B-NP,O
,match,I-NP,O
,played,B-VP,O
,on,B-PP,O
,Saturday,B-NP,O
,:,O,O
,"
",O,O
,Graafschap,B-NP,B-ORG
,Doetinchem,I-NP,I-ORG
,3,I-NP,O
,RKC,I-NP,B-ORG
,Waalwijk,I-NP,I-ORG
,2,I-NP,O
,"
",I-NP,O
,Willem,B-NP,B-ORG
,II,I-NP,I-ORG
,Tilburg,I-NP,I-ORG
,0,I-NP,O
,Fortuna,I-NP,B-ORG
,Sittard,I-NP,I-ORG
,1,I-NP,O
,"
",I-NP,O
,NAC,B-NP,B-ORG
,Breda,I-NP,I-ORG
,1,I-NP,O
,Sparta,I-NP,B-ORG
,Rotterdam,I-NP,I-ORG
,0,I-NP,O
,"
",I-NP,O
,Heerenveen,B-NP,B-ORG
,2,I-NP,O
,Ajax,I-NP,B-ORG
,Amsterdam,I-NP,I-ORG
,0,I-NP,O
,"
",I-NP,O
,Standings,B-NP,O
,(,O,O
,tabulated,B-VP,O
,under,B-PP,O
,played,B-NP,O
,",",O,O
,won,B-VP,O
,",",B-VP,O
,drawn,I-VP,O
,",",O,O
,lost,B-VP,O
,",",O,O
,goals,B-NP,O
,"
",B-NP,O
,for,B-PP,O
,",",O,O
,against,B-ADVP,O
,",",O,O
,points,B-VP,O
,),O,O
,:,O,O
,"
",O,O
,Graafschap,B-NP,B-ORG
,Doetinchem,I-NP,I-ORG
,2,I-NP,O
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,4,I-NP,O
,3,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,Fortuna,B-NP,B-ORG
,Sittard,I-NP,I-ORG
,2,I-NP,O
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,4,I-NP,O
,"
",I-NP,O
,PSV,B-NP,B-ORG
,Eindhoven,I-NP,I-ORG
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,0,I-NP,O
,4,I-NP,O
,1,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Twente,B-NP,B-ORG
,Enschede,I-NP,I-ORG
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,0,I-NP,O
,3,I-NP,O
,1,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Vitesse,B-NP,B-ORG
,Arnhem,I-NP,I-ORG
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,0,I-NP,O
,2,I-NP,O
,0,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Heerenveen,B-NP,B-ORG
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,3,I-NP,O
,3,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,NAC,B-NP,B-ORG
,Breda,I-NP,I-ORG
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Ajax,B-NP,B-ORG
,Amsterdam,I-NP,I-ORG
,2,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,2,I-NP,O
,3,I-NP,O
,"
",I-NP,O
,Utrecht,B-NP,B-ORG
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,2,I-NP,O
,2,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Feyenoord,B-NP,B-ORG
,Rotterdam,I-NP,I-ORG
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Roda,B-NP,B-ORG
,JC,I-NP,I-ORG
,Kerkrade,I-NP,I-ORG
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Volendam,B-NP,B-ORG
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Groningen,B-NP,B-ORG
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,0,I-NP,O
,0,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,RKC,B-NP,B-ORG
,Waalwijk,I-NP,I-ORG
,2,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,4,I-NP,O
,5,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Sparta,B-NP,B-ORG
,Rotterdam,I-NP,I-ORG
,2,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,Willem,B-NP,B-ORG
,II,I-NP,I-ORG
,Tilburg,I-NP,I-ORG
,2,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,"
",I-NP,O
,AZ,B-NP,B-ORG
,Alkmaar,I-NP,I-ORG
,1,I-NP,O
,0,I-NP,O
,0,I-NP,O
,1,I-NP,O
,0,I-NP,O
,2,I-NP,O
,0,I-NP,O
,"
",I-NP,O
,NEC,B-NP,B-ORG
,Nijmegen,I-NP,I-ORG
,1,I-NP,O
,0,I-NP,O
,0,I-NP,O
,1,I-NP,O
,1,I-NP,O
,4,I-NP,O
,0,I-NP,O
,"
",I-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :1993,-,B-NP,O
,SUMMARIES,B-NP,O
,OF,B-PP,O
,GERMAN,B-NP,B-MISC
,FIRST,I-NP,O
,DIVISION,I-NP,O
,MATCHES,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,BONN,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Summaries,B-NP,O
,of,B-PP,O
,German,B-NP,B-MISC
,first,I-NP,O
,division,I-NP,O
,"
",I-NP,O
,matches,B-NP,O
,played,B-VP,O
,on,B-PP,O
,Saturday,B-NP,O
,:,O,O
,"
",O,O
,Bochum,B-NP,B-ORG
,1,I-NP,O
,(,O,O
,Jack,B-NP,B-PER
,66th,I-NP,O
,minute,I-NP,O
,),O,O
,Arminia,B-NP,B-ORG
,Bielefeld,I-NP,I-ORG
,1,I-NP,O
,(,O,O
,Molata,B-NP,B-PER
,59th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,Halftime,B-VP,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Attendance,B-NP,O
,"25,000",I-NP,O
,"
",I-NP,O
,Borussia,B-NP,B-ORG
,Moenchengladbach,I-NP,I-ORG
,1,I-NP,O
,(,O,O
,Andersson,B-NP,B-PER
,22nd,I-NP,O
,),O,O
,Karlsruhe,B-NP,B-ORG
,3,I-NP,O
,"
",I-NP,O
,(,O,O
,Haessler,B-NP,B-PER
,33rd,I-NP,O
,",",O,O
,Dundee,B-NP,B-PER
,45th,I-NP,O
,",",O,O
,Keller,B-NP,B-PER
,90th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,1-2,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"20,000",B-NP,O
,"
",B-NP,O
,Stuttgart,B-VP,B-ORG
,2,B-NP,O
,(,O,O
,Balakow,B-NP,B-PER
,50th,I-NP,O
,",",I-NP,O
,Bobic,I-NP,B-PER
,61st,I-NP,O
,),O,O
,Werder,B-NP,B-ORG
,Bremen,I-NP,I-ORG
,1,I-NP,O
,(,O,O
,Votava,B-NP,B-PER
,"
",B-NP,B-PER
,68th,B-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"32,000",B-NP,O
,"
",B-NP,O
,1860,B-NP,B-ORG
,Munich,I-NP,I-ORG
,1,I-NP,O
,(,O,O
,Schwabl,B-NP,B-PER
,38th,I-NP,O
,),O,O
,Borussia,B-NP,B-ORG
,Dortmund,I-NP,I-ORG
,3,I-NP,O
,(,O,O
,Zorc,B-NP,B-PER
,"
",B-NP,B-PER
,59th-pen,B-NP,O
,",",O,O
,Moeller,B-NP,B-PER
,73rd,I-NP,O
,",",O,O
,Heinrich,B-NP,B-PER
,90th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,1-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"50,000",B-NP,O
,"
",B-NP,O
,Bayer,B-NP,B-ORG
,Leverkusen,I-NP,I-ORG
,0,I-NP,O
,Fortuna,I-NP,B-ORG
,Duesseldorf,I-NP,I-ORG
,1,I-NP,O
,(,O,O
,Seeliger,B-NP,B-PER
,47th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,0-0,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"18,000",B-NP,O
,"
",B-NP,O
,Freiburg,B-VP,B-ORG
,1,B-NP,O
,(,O,O
,Zeyer,B-NP,B-PER
,52nd,I-NP,O
,),O,O
,Cologne,B-NP,B-ORG
,3,I-NP,O
,(,O,O
,Gaissmayer,B-NP,B-PER
,9th,I-NP,O
,",",O,O
,Polster,B-NP,B-PER
,"
",B-NP,B-PER
,86th,B-NP,O
,",",I-NP,O
,90th,I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,0-1,B-ADVP,O
,.,B-ADVP,O
,.,.,0
,"
",B-ADVP,O
,"22,500",B-NP,O
,"
",B-NP,O
,"
",-X-,O
,SOCCER,B-NP,O
Sentence :2006,-,B-NP,O
,RESULTS,B-NP,O
,OF,B-PP,O
,GERMAN,B-NP,B-MISC
,FIRST,I-NP,O
,DIVISION,I-NP,O
,MATCHES,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,BONN,B-NP,B-LOC
,1996-08-24,I-NP,O
,"
",I-NP,O
,Results,B-NP,O
,of,B-PP,O
,German,B-NP,B-MISC
,first,I-NP,O
,division,I-NP,O
,"
",I-NP,O
,soccer,B-NP,O
,matches,I-NP,O
,played,B-VP,O
,on,B-PP,O
,Saturday,B-NP,O
,:,O,O
,"
",O,O
,Bochum,B-NP,B-ORG
,1,I-NP,O
,Arminia,I-NP,B-ORG
,Bielefeld,I-NP,I-ORG
,1,I-NP,O
,"
",I-NP,O
